No;Film;Rating;Oscar
1;Shawshank Redemption;9.3;1
2;Dark Knight;9;1
3;Inception;8.8;1
4;Fight Club;8.8;1
5;Pulp Fiction;8.9;1
6;Forrest Gump;8.8;1
7;Matrix;8.7;1
8;Lord_Rings 1;8.8;1
9;Lord_Rings 2;8.9;1
10;Lord_Rings 3;8.7;1
11;Interstellar;8.6;1
12;Seven;8.6;1
13;Django Unchained;8.4;1
14;Gladiator;8.5;1
15;Batman begins;8.2;1
16;Avengers;8;1
17;Silence of the Lambs;8.6;1
18;Inglorious Bastards;8.3;1
19;Saving Private Ryan;8.6;1
20;Schindler's list;8.6;1
21;The Departed;8.5;1
22;The Prestige;8.5;1
23;Wolf of Wall Street;8.2;1
24;Avatar;7.8;1
25;Green Mile;8.6;1
26;Memento;8.4;1
27;American Beauty;8.3;1
28;Guardians of the Galaxy;8;1
29;Batman begins;8.2;0
30;Star Wars 1;6.5;0
31;Star Wars 3;7.5;0
32;Joker;8.6;0
33;Star Wars 2;6.5;0
34;Batman vs Superman;6.5;0
35;Transformers;7;0
36;Pirates_Caribbean : At world's end;7.1;0
37;Suicide Squad;6;0
38;Independance Day;7;0
39;Matrix reloaded;7.2;0
40;Hangover Part 2;6.4;0
41;Matrix Revolutions;6.7;0
42;Fifth Element;7.7;0
43;Indiana Jones : kingdom of crystal skull;6.1;0
44;War of the Worlds;6.5;0
45;DaVinci Code;6.6;0
46;Armaggedon;6.7;0
47;Transformers : dark of the moon;6.2;0
48;Transformers : revenge of the fallen;6;0
49;Mission : Impossible;7.1;0
50;Lost World : Jurassic Park;6.6;0
51;Dumb and Dumber;7.3;0
52;Godfather 3;7.6;0
53;Men in Black 2;6.2;0
54;The Mask;6.9;0
55;Anchorman : legend of Ron Burgundy;7.2;0
56;The Expendables;6.5;0
